portPowerLabel,enableMimoFeedback,rankLimit,gnbUeDistance,Metric,Value
default,1,4,0,Throughput,166.837547
default,1,4,10,Throughput,204.572000
default,1,4,20,Throughput,204.572000
default,1,4,30,Throughput,204.572000
default,1,4,40,Throughput,204.572000
default,1,4,50,Throughput,204.572000
default,1,4,60,Throughput,204.572000
default,1,4,70,Throughput,176.130667
default,1,4,80,Throughput,202.858667
default,1,4,90,Throughput,202.858667
default,1,4,100,Throughput,204.572000
default,1,4,110,Throughput,204.572000
default,1,4,120,Throughput,201.830667
default,1,4,130,Throughput,142.549333
default,1,4,140,Throughput,144.290080
default,1,4,150,Throughput,204.572000
default,1,4,160,Throughput,204.572000
default,1,4,170,Throughput,204.572000
default,1,4,180,Throughput,204.572000
default,1,4,190,Throughput,202.516000
default,1,4,200,Throughput,202.516000
default,1,4,210,Throughput,202.516000
default,1,4,220,Throughput,202.516000
default,1,4,230,Throughput,202.516000
default,1,4,240,Throughput,202.516000
default,1,4,250,Throughput,202.516000
default,1,4,260,Throughput,202.516000
default,1,4,270,Throughput,200.309227
default,1,4,280,Throughput,199.911733
default,1,4,290,Throughput,199.898027
default,1,4,300,Throughput,199.911733
default,1,4,310,Throughput,199.966560
default,1,4,320,Throughput,199.843200
default,1,4,330,Throughput,199.007093
default,1,4,340,Throughput,199.349760
default,1,4,350,Throughput,198.239520
default,1,4,360,Throughput,196.992213
default,1,4,370,Throughput,195.169227
default,1,4,380,Throughput,195.086987
default,1,4,390,Throughput,194.881387
default,1,4,400,Throughput,194.716907
default,1,4,410,Throughput,195.320000
default,1,4,420,Throughput,174.801120
default,1,4,430,Throughput,174.801120
default,1,4,440,Throughput,174.801120
default,1,4,450,Throughput,174.855947
default,1,4,460,Throughput,174.609227
default,1,4,470,Throughput,174.650347
default,1,4,480,Throughput,174.664053
default,1,4,490,Throughput,174.951893
default,1,4,500,Throughput,174.910773
default,1,4,510,Throughput,174.444747
default,1,4,520,Throughput,173.841653
default,1,4,530,Throughput,175.719467
default,1,4,540,Throughput,174.732587
default,1,4,550,Throughput,174.198027
default,1,4,560,Throughput,174.074667
default,1,4,570,Throughput,173.923893
default,1,4,580,Throughput,171.237387
default,1,4,590,Throughput,171.360747
default,1,4,600,Throughput,170.401280
default,1,4,610,Throughput,170.867307
default,1,4,620,Throughput,170.277920
default,1,4,630,Throughput,170.319040
default,1,4,640,Throughput,168.221920
default,1,4,650,Throughput,167.728480
default,1,4,660,Throughput,167.659947
default,1,4,670,Throughput,166.289280
default,1,4,680,Throughput,164.904907
default,1,4,690,Throughput,164.644480
default,1,4,700,Throughput,163.273813
default,1,4,710,Throughput,157.983040
default,1,4,720,Throughput,156.776853
default,1,4,730,Throughput,147.099947
default,1,4,740,Throughput,145.057653
default,1,4,750,Throughput,139.437920
default,1,4,760,Throughput,138.080960
default,1,4,770,Throughput,134.832480
default,1,4,780,Throughput,133.571467
default,1,4,790,Throughput,118.466720
default,1,4,800,Throughput,112.353547
default,1,4,810,Throughput,111.654507
default,1,4,820,Throughput,112.435787
default,1,4,830,Throughput,110.653920
default,1,4,840,Throughput,110.366080
default,1,4,850,Throughput,112.038293
default,1,4,860,Throughput,104.554453
default,1,4,870,Throughput,103.416800
default,1,4,880,Throughput,102.292853
default,1,4,890,Throughput,99.469280
default,1,4,900,Throughput,89.682720
default,1,4,910,Throughput,89.271520
default,1,4,920,Throughput,86.173813
default,1,4,930,Throughput,85.776320
default,1,4,940,Throughput,85.995627
default,1,4,950,Throughput,87.421120
default,1,4,960,Throughput,79.416427
default,1,4,970,Throughput,80.362187
default,1,4,980,Throughput,78.977813
default,1,4,990,Throughput,79.402720
default,1,4,1000,Throughput,76.551733
