portPowerLabel,enableMimoFeedback,rankLimit,gnbUeDistance,Metric,Value
default,1,4,0,Tx Packets,15000
default,1,4,0,Tx Bytes,15420000
default,1,4,0,TxOffered,205.600000
default,1,4,0,Rx Bytes,13107000
default,1,4,0,Throughput,174.760000
default,1,4,0,Mean delay,18.318961
default,1,4,0,Mean jitter,0.078491
default,1,4,0,Rx Packets,12750
default,1,4,20,Tx Packets,15000
default,1,4,20,Tx Bytes,15420000
default,1,4,20,TxOffered,205.600000
default,1,4,20,Rx Bytes,15342900
default,1,4,20,Throughput,204.572000
default,1,4,20,Mean delay,4.064258
default,1,4,20,Mean jitter,0.076836
default,1,4,20,Rx Packets,14925
default,1,4,40,Tx Packets,15000
default,1,4,40,Tx Bytes,15420000
default,1,4,40,TxOffered,205.600000
default,1,4,40,Rx Bytes,15240100
default,1,4,40,Throughput,203.201333
default,1,4,40,Mean delay,14.086590
default,1,4,40,Mean jitter,0.077322
default,1,4,40,Rx Packets,14825
default,1,4,60,Tx Packets,15000
default,1,4,60,Tx Bytes,15420000
default,1,4,60,TxOffered,205.600000
default,1,4,60,Rx Bytes,15214400
default,1,4,60,Throughput,202.858667
default,1,4,60,Mean delay,15.079154
default,1,4,60,Mean jitter,0.077322
default,1,4,60,Rx Packets,14800
default,1,4,80,Tx Packets,15000
default,1,4,80,Tx Bytes,15420000
default,1,4,80,TxOffered,205.600000
default,1,4,80,Rx Bytes,15240100
default,1,4,80,Throughput,203.201333
default,1,4,80,Mean delay,5.395314
default,1,4,80,Mean jitter,0.077365
default,1,4,80,Rx Packets,14825
default,1,4,100,Tx Packets,15000
default,1,4,100,Tx Bytes,15420000
default,1,4,100,TxOffered,205.600000
default,1,4,100,Rx Bytes,14854600
default,1,4,100,Throughput,198.061333
default,1,4,100,Mean delay,28.778405
default,1,4,100,Mean jitter,0.078442
default,1,4,100,Rx Packets,14450
default,1,4,120,Tx Packets,15000
default,1,4,120,Tx Bytes,15420000
default,1,4,120,TxOffered,205.600000
default,1,4,120,Rx Bytes,15342900
default,1,4,120,Throughput,204.572000
default,1,4,120,Mean delay,4.953221
default,1,4,120,Mean jitter,0.076877
default,1,4,120,Rx Packets,14925
default,1,4,140,Tx Packets,15000
default,1,4,140,Tx Bytes,15420000
default,1,4,140,TxOffered,205.600000
default,1,4,140,Rx Bytes,15070480
default,1,4,140,Throughput,200.939733
default,1,4,140,Mean delay,19.188859
default,1,4,140,Mean jitter,0.077738
default,1,4,140,Rx Packets,14660
default,1,4,160,Tx Packets,15000
default,1,4,160,Tx Bytes,15420000
default,1,4,160,TxOffered,205.600000
default,1,4,160,Rx Bytes,15317200
default,1,4,160,Throughput,204.229333
default,1,4,160,Mean delay,13.156642
default,1,4,160,Mean jitter,0.077753
default,1,4,160,Rx Packets,14900
default,1,4,180,Tx Packets,15000
default,1,4,180,Tx Bytes,15420000
default,1,4,180,TxOffered,205.600000
default,1,4,180,Rx Bytes,15317200
default,1,4,180,Throughput,204.229333
default,1,4,180,Mean delay,13.301824
default,1,4,180,Mean jitter,0.077812
default,1,4,180,Rx Packets,14900
default,1,4,200,Tx Packets,15000
default,1,4,200,Tx Bytes,15420000
default,1,4,200,TxOffered,205.600000
default,1,4,200,Rx Bytes,13999304
default,1,4,200,Throughput,186.657387
default,1,4,200,Mean delay,57.635582
default,1,4,200,Mean jitter,0.079204
default,1,4,200,Rx Packets,13618
default,1,4,220,Tx Packets,15000
default,1,4,220,Tx Bytes,15420000
default,1,4,220,TxOffered,205.600000
default,1,4,220,Rx Bytes,14057900
default,1,4,220,Throughput,187.438667
default,1,4,220,Mean delay,27.718937
default,1,4,220,Mean jitter,0.078956
default,1,4,220,Rx Packets,13675
default,1,4,240,Tx Packets,15000
default,1,4,240,Tx Bytes,15420000
default,1,4,240,TxOffered,205.600000
default,1,4,240,Rx Bytes,15107488
default,1,4,240,Throughput,201.433173
default,1,4,240,Mean delay,17.425627
default,1,4,240,Mean jitter,0.078579
default,1,4,240,Rx Packets,14696
default,1,4,260,Tx Packets,15000
default,1,4,260,Tx Bytes,15420000
default,1,4,260,TxOffered,205.600000
default,1,4,260,Rx Bytes,15081788
default,1,4,260,Throughput,201.090507
default,1,4,260,Mean delay,25.783155
default,1,4,260,Mean jitter,0.078877
default,1,4,260,Rx Packets,14671
default,1,4,280,Tx Packets,15000
default,1,4,280,Tx Bytes,15420000
default,1,4,280,TxOffered,205.600000
default,1,4,280,Rx Bytes,14958428
default,1,4,280,Throughput,199.445707
default,1,4,280,Mean delay,38.944274
default,1,4,280,Mean jitter,0.079030
default,1,4,280,Rx Packets,14551
default,1,4,300,Tx Packets,15000
default,1,4,300,Tx Bytes,15420000
default,1,4,300,TxOffered,205.600000
default,1,4,300,Rx Bytes,14915252
default,1,4,300,Throughput,198.870027
default,1,4,300,Mean delay,39.107836
default,1,4,300,Mean jitter,0.079121
default,1,4,300,Rx Packets,14509
default,1,4,320,Tx Packets,15000
default,1,4,320,Tx Bytes,15420000
default,1,4,320,TxOffered,205.600000
default,1,4,320,Rx Bytes,14918336
default,1,4,320,Throughput,198.911147
default,1,4,320,Mean delay,39.272660
default,1,4,320,Mean jitter,0.078856
default,1,4,320,Rx Packets,14512
default,1,4,340,Tx Packets,15000
default,1,4,340,Tx Bytes,15420000
default,1,4,340,TxOffered,205.600000
default,1,4,340,Rx Bytes,14957400
default,1,4,340,Throughput,199.432000
default,1,4,340,Mean delay,39.182016
default,1,4,340,Mean jitter,0.078777
default,1,4,340,Rx Packets,14550
default,1,4,360,Tx Packets,15000
default,1,4,360,Tx Bytes,15420000
default,1,4,360,TxOffered,205.600000
default,1,4,360,Rx Bytes,14997492
default,1,4,360,Throughput,199.966560
default,1,4,360,Mean delay,39.672907
default,1,4,360,Mean jitter,0.078983
default,1,4,360,Rx Packets,14589
default,1,4,380,Tx Packets,15000
default,1,4,380,Tx Bytes,15420000
